Ciudad,Colonia,operacion,tipo_propiedad,n_propiedades,precio_min,precio_mediana,precio_media,precio_max,precio_std,precio_iqr,precio_skew_aprox,area_m2_min,area_m2_mediana,area_m2_media,area_m2_max,area_m2_std,area_m2_iqr,area_m2_skew_aprox,PxM2_min,PxM2_mediana,PxM2_media,PxM2_max,PxM2_std,PxM2_iqr,PxM2_skew_aprox,precio_rango,area_m2_rango,recamaras_min,recamaras_media,recamaras_max,estacionamientos_min,estacionamientos_media,estacionamientos_max,mantenimiento_media,clasificacion_mercado,precio_metodo,precio_representativo,area_m2_metodo,area_m2_representativo,PxM2_metodo,PxM2_representativo
Gdl,Analco,Ven,Dep,1,1302000.0,1302000.0,1302000.0,1302000.0,0.0,0.0,0.0,56.0,56.0,56.0,56.0,0.0,0.0,0.0,23250.0,23250.0,23250.0,23250.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,,Medio,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Analco,Ven,Local comercial,1,2430000.0,2430000.0,2430000.0,2430000.0,0.0,0.0,0.0,255.0,255.0,255.0,255.0,0.0,0.0,0.0,9529.411764705885,9529.411764705885,9529.411764705885,9529.411764705885,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,,,,,Medio,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Arandas,Ven,Cas,2,3900000.0,4050000.0,4050000.0,4200000.0,150000.0,150000.0,0.0,300.0,328.5,328.5,357.0,28.5,28.5,0.0,10924.36974789916,12462.18487394958,12462.18487394958,14000.0,1537.81512605042,1537.81512605042,0.0,300000.0,57.0,5.0,5.5,6.0,1.0,1.0,1.0,,Premium,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Arboledas Sur,Ven,Cas,2,2190000.0,2290000.0,2290000.0,2390000.0,100000.0,100000.0,0.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,43800.0,45800.0,45800.0,47800.0,2000.0,2000.0,0.0,200000.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,Medio,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Arcos,Ven,Cas,3,15490000.0,26500000.0,24996666.666666668,33000000.0,7227034.123499226,8755000.0,-0.1698437430467016,558.0,650.0,662.0,778.0,90.21455906153211,110.0,0.10860729213741652,27759.85663082437,40769.230769230766,36981.84661407151,42416.45244215938,6555.5146885795975,7328.297905667503,-0.4717228715442063,17510000.0,220.0,5.0,6.0,8.0,4.0,6.0,8.0,,Económico,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Arcos,Ven,Dep,15,2657000.0,3240000.0,3438195.533333333,4700000.0,626351.6252396749,895966.5,0.30569901710254715,43.0,60.0,63.733333333333334,106.0,17.078121156093907,26.0,0.21119083438158917,40000.0,54415.58441558442,55791.838582870085,72888.88888888889,9686.946960378451,16230.842911877393,0.13725561292752708,2043000.0,63.0,1.0,1.4,2.0,1.0,1.1538461538461537,2.0,1583.3333333333333,Económico,mediana_IQR,3438195.533333333,mediana_IQR,63.73333333333333,mediana_IQR,55791.838582870085
Gdl,Arcos,Ven,Local comercial,1,8500000.0,8500000.0,8500000.0,8500000.0,0.0,0.0,0.0,126.0,126.0,126.0,126.0,0.0,0.0,0.0,67460.31746031746,67460.31746031746,67460.31746031746,67460.31746031746,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,,,,,Económico,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Arcos,Ven,Terreno / Lote,1,26500000.0,26500000.0,26500000.0,26500000.0,0.0,0.0,0.0,649.0,649.0,649.0,649.0,0.0,0.0,0.0,40832.04930662558,40832.04930662558,40832.04930662558,40832.04930662558,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,,,,,Económico,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Arcos Vallarta,Ven,Cas,8,7125000.0,9995000.0,13081875.0,25800000.0,6615273.018506114,8045000.0,0.43649100397998686,250.0,337.0,427.375,838.0,192.7005043454739,242.25,0.43870186987395393,21253.40599455041,30866.107452986405,30636.38533315793,43900.0,6845.0066928394135,7650.36892738755,-0.03139301045025399,18675000.0,588.0,1.0,5.25,8.0,1.0,3.6666666666666665,6.0,,Medio,mediana_rango,13081875.0,mediana_rango,427.375,mediana_rango,30636.38533315793
Gdl,Arcos Vallarta,Ven,Dep,96,1835350.0,4663647.5,4976989.895833333,15232689.0,2040166.760614137,1505125.0,0.15278463405404288,33.0,70.5,84.60416666666667,250.0,41.075509523789094,40.25,0.3415786030340047,30929.203539823007,61172.44766009852,62060.6580432026,119942.43307086614,14340.76833803891,17156.443277310915,0.061612610722797306,13397339.0,217.0,1.0,1.7395833333333333,5.0,1.0,1.4698795180722892,4.0,2145.7083333333335,Económico,mediana_IQR,4976989.895833333,mediana_IQR,84.60416666666667,mediana_IQR,62060.6580432026
Gdl,Arcos Vallarta,Ven,Local comercial,4,8808950.0,12475000.0,12337237.5,15590000.0,2632417.3100438975,3982762.5,-0.04532177486967831,211.0,316.5,360.75,599.0,157.994264136392,234.25,0.24255073009593173,23372.28714524207,39979.68125638881,37999.579081171585,48666.66666666666,9244.512277179081,8976.94029435113,-0.18549586331990353,6781050.0,388.0,1.0,3.0,6.0,1.0,2.3333333333333335,4.0,,Económico,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Arcos Vallarta,Ven,Ofc,3,15990000.0,17350000.0,20756000.0,28928000.0,5805089.031760552,6469000.0,0.4790602416990707,472.0,523.0,563.0,694.0,94.94208761134337,111.0,0.3439977364993823,25000.0,30573.613766730403,38953.91645331692,61288.13559322034,15955.757603387627,18144.067796610172,0.4288413412149243,12938000.0,222.0,5.0,8.333333333333334,10.0,,,,,Económico,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Arcos Vallarta,Ven,Terreno / Lote,2,14500000.0,17700000.0,17700000.0,20900000.0,3200000.0,3200000.0,0.0,328.0,396.0,396.0,464.0,68.0,68.0,0.0,31250.0,47484.756097560974,47484.756097560974,63719.51219512195,16234.756097560974,16234.756097560967,0.0,6400000.0,136.0,1.0,4.5,8.0,4.0,4.0,4.0,,Premium,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Artesanos (Sagrada Familia y/o Jesús),Ven,Cas,4,3420000.0,4250000.0,4817500.0,7350000.0,1511263.957751921,1357500.0,0.32520422003496563,122.0,165.0,161.75,195.0,28.092481200492063,40.75,-0.10018988860846366,23076.92307692308,27349.726775956286,29652.427490542246,40833.333333333336,6704.25083709209,5463.692728036989,0.29745267064153136,3930000.0,73.0,3.0,3.5,4.0,1.0,1.0,1.0,,Premium,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Artesanos (Sagrada Familia y/o Jesús),Ven,Dep,19,1999000.0,3450000.0,3360883.052631579,5200000.0,791055.5196390569,987500.0,-0.10965104842858758,50.0,74.0,74.63157894736842,140.0,21.68242200084471,26.5,0.028351713029970416,37142.857142857145,46621.62162162162,45643.77927552216,52457.94736842105,4016.107690169443,4152.942452284558,-0.23698613771887517,3201000.0,90.0,1.0,1.894736842105263,3.0,1.0,1.1764705882352942,2.0,1566.6666666666667,Medio,mediana_IQR,3360883.052631579,mediana_IQR,74.63157894736842,mediana_IQR,45643.77927552216
Gdl,Atlas,Ven,Cas,2,2650000.0,2675000.0,2675000.0,2700000.0,25000.0,25000.0,0.0,100.0,121.5,121.5,143.0,21.5,21.5,0.0,18531.46853146853,22765.734265734267,22765.734265734267,27000.0,4234.265734265735,4234.265734265737,0.0,50000.0,43.0,2.0,3.0,4.0,1.0,1.0,1.0,,Medio,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Atlas,Ven,Dep,3,3281218.0,3340233.0,3413797.0,3619940.0,147742.78300027607,169361.0,0.4065494994720295,76.0,82.0,80.0,82.0,2.8284271247461903,3.0,-0.5773502690229592,40014.85365853659,43950.43421052631,42703.63254172015,44145.60975609756,1902.9227143857172,2065.3780487804834,-0.5349714373467873,338722.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,,Premium,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Autocinema,Ven,Cas,2,3300000.0,4582083.0,4582083.0,5864166.0,1282083.0,1282083.0,0.0,156.0,165.5,165.5,175.0,9.5,9.5,0.0,21153.846153846152,27331.683076923073,27331.683076923073,33509.52,6177.836923076922,6177.83692307692,0.0,2564166.0,19.0,4.0,4.0,4.0,1.0,1.5,2.0,,Premium,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Ayuntamiento,Ren,Dep,1,3750000.0,3750000.0,3750000.0,3750000.0,0.0,0.0,0.0,77.0,77.0,77.0,77.0,0.0,0.0,0.0,48701.2987012987,48701.2987012987,48701.2987012987,48701.2987012987,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2770.0,Medio,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Ayuntamiento,Ven,Cas,2,3300000.0,7150000.0,7150000.0,11000000.0,3850000.0,3850000.0,0.0,87.0,241.5,241.5,396.0,154.5,154.5,0.0,27777.777777777777,32854.4061302682,32854.4061302682,37931.03448275862,5076.628352490423,5076.628352490421,0.0,7700000.0,309.0,3.0,4.5,6.0,1.0,1.5,2.0,,Premium,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Ayuntamiento,Ven,Dep,16,2468829.0,4475000.0,4382681.125,7280000.0,1291192.540906994,1675000.0,-0.06922853371745094,40.0,87.0,91.3125,155.0,29.033856852819262,34.0,0.14381693039122231,31187.5,46695.09494179045,49067.4147165021,66976.725,8075.721669194679,8206.818359200792,0.28443139064536027,4811171.0,115.0,1.0,1.75,4.0,1.0,1.5625,3.0,2966.6666666666665,Premium,mediana_IQR,4382681.125,mediana_IQR,91.3125,mediana_IQR,49067.4147165021
Gdl,Balcones de Oblatos,Ven,Cas,1,5100000.0,5100000.0,5100000.0,5100000.0,0.0,0.0,0.0,221.0,221.0,221.0,221.0,0.0,0.0,0.0,23076.92307692308,23076.92307692308,23076.92307692308,23076.92307692308,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,2.0,2.0,2.0,,Premium,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Barragán Hernández,Ven,Dep,3,1656910.0,2415000.0,2270052.3333333335,2738247.0,453195.9079296968,540668.5,-0.261143739773449,45.0,61.0,58.333333333333336,69.0,9.977753031397176,12.0,-0.21821789021813506,35000.0,36820.22222222222,38903.17243472981,44889.29508196721,4297.561362400331,4944.647540983606,0.39574111532985623,1081337.0,24.0,1.0,1.6666666666666667,2.0,,,,,Económico,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Barragán Hernández,Ven,Local comercial,1,3300000.0,3300000.0,3300000.0,3300000.0,0.0,0.0,0.0,130.0,130.0,130.0,130.0,0.0,0.0,0.0,25384.615384615383,25384.615384615383,25384.615384615383,25384.615384615383,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,,,,,Medio,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Beatriz Hernández,Ven,Cas,2,2890000.0,3095000.0,3095000.0,3300000.0,205000.0,205000.0,0.0,150.0,168.5,168.5,187.0,18.5,18.5,0.0,17647.058823529413,18456.862745098042,18456.862745098042,19266.666666666668,809.8039215686276,809.8039215686258,0.0,410000.0,37.0,4.0,4.5,5.0,1.0,1.0,1.0,,Premium,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Belisario Domínguez,Ven,Cas,4,2200000.0,3425000.0,3262500.0,4000000.0,722301.0106596834,1087500.0,-0.19483446103230845,114.0,238.0,268.25,483.0,150.78855228431632,239.25,0.17373512821406412,7971.014492753623,15601.503759398496,15150.648360030513,21428.571428571428,5447.426052379921,8909.502015909338,-0.0716764625222229,1800000.0,369.0,3.0,4.0,5.0,1.0,1.3333333333333333,2.0,,Medio,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Benito Juárez,Ven,Cas,1,4400000.0,4400000.0,4400000.0,4400000.0,0.0,0.0,0.0,278.0,278.0,278.0,278.0,0.0,0.0,0.0,15827.338129496404,15827.338129496404,15827.338129496404,15827.338129496404,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,2.0,2.0,2.0,,Medio,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Benito Juárez,Ven,Local comercial,1,3000000.0,3000000.0,3000000.0,3000000.0,0.0,0.0,0.0,168.0,168.0,168.0,168.0,0.0,0.0,0.0,17857.14285714286,17857.14285714286,17857.14285714286,17857.14285714286,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,,,,,Medio,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Blanco y Cuellar,Ven,Cas,1,3570000.0,3570000.0,3570000.0,3570000.0,0.0,0.0,0.0,220.0,220.0,220.0,220.0,0.0,0.0,0.0,16227.272727272728,16227.272727272728,16227.272727272728,16227.272727272728,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,2.0,2.0,,Económico,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Blanco y Cuellar,Ven,Dep,1,1600000.0,1600000.0,1600000.0,1600000.0,0.0,0.0,0.0,47.0,47.0,47.0,47.0,0.0,0.0,0.0,34042.55319148936,34042.55319148936,34042.55319148936,34042.55319148936,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,1.0,,Medio,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Bosques de La Victoria,Ven,Cas,9,400000.0,9840000.0,8430000.0,14200000.0,4707523.529179411,3160000.0,-0.28239067534994045,210.0,437.0,382.8888888888889,521.0,109.16902739884549,196.0,-0.46731610623203296,1904.7619047619048,22008.547008547008,20060.036887984174,31767.337807606265,10195.55698887324,8058.269838500164,-0.1801836781732952,13800000.0,311.0,3.0,5.222222222222222,10.0,2.0,3.25,8.0,,Económico,mediana_rango,8430000.0,mediana_rango,382.8888888888889,mediana_rango,20060.036887984174
Gdl,Bosques de La Victoria,Ven,Dep,3,2400000.0,2650000.0,2633333.3333333335,2850000.0,184089.35028645434,225000.0,-0.07392212709545629,59.0,65.0,82.0,122.0,28.39013913315678,31.5,0.488917712247532,21721.311475409835,40677.96610169492,35415.143807752866,43846.15384615384,9769.003236624754,11062.421185372,-0.43986845995950374,450000.0,63.0,2.0,2.0,2.0,,,,700.0,Premium,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Bosques del Boulevard,Ven,Cas,1,2800000.0,2800000.0,2800000.0,2800000.0,0.0,0.0,0.0,286.0,286.0,286.0,286.0,0.0,0.0,0.0,9790.20979020979,9790.20979020979,9790.20979020979,9790.20979020979,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,4.0,4.0,4.0,,Económico,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Centro,Ven,Cas,2,5500000.0,6075000.0,6075000.0,6650000.0,575000.0,575000.0,0.0,321.0,352.0,352.0,383.0,31.0,31.0,0.0,14360.313315926893,17538.412109676843,17538.412109676843,20716.51090342679,3178.0987937499494,3178.0987937499485,0.0,1150000.0,62.0,7.0,7.0,7.0,1.0,1.0,1.0,,Medio,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Centro,Ven,Dep,1,5791250.0,5791250.0,5791250.0,5791250.0,0.0,0.0,0.0,102.0,102.0,102.0,102.0,0.0,0.0,0.0,56776.96078431373,56776.96078431373,56776.96078431373,56776.96078431373,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,,Premium,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Centro,Ven,Local comercial,1,12955000.0,12955000.0,12955000.0,12955000.0,0.0,0.0,0.0,381.0,381.0,381.0,381.0,0.0,0.0,0.0,34002.62467191601,34002.62467191601,34002.62467191601,34002.62467191601,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,,,,,Económico,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Centro Barranquitas,Ven,Cas,1,9000000.0,9000000.0,9000000.0,9000000.0,0.0,0.0,0.0,786.0,786.0,786.0,786.0,0.0,0.0,0.0,11450.381679389311,11450.381679389311,11450.381679389311,11450.381679389311,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,,,,,Económico,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Chapalita,Ven,Cas,28,5485000.0,11475000.0,13607487.964285715,32828708.0,7590328.905336934,6813191.25,0.27588549013573765,125.0,381.0,393.9642857142857,851.0,170.1559121475816,167.25,0.07481771091991807,15276.14571092832,32386.22291021672,35208.28260835292,65657.416,11958.190445145923,17699.844387755104,0.2317413845535074,27343708.0,726.0,3.0,5.071428571428571,10.0,1.0,3.5185185185185186,8.0,,Económico,mediana_IQR,13607487.964285716,mediana_IQR,393.9642857142857,mediana_IQR,35208.28260835292
Gdl,Chapalita,Ven,Dep,41,2200000.0,5613000.0,5831616.951219512,13147003.0,2401547.9042638815,1690000.0,0.08991468904926947,36.0,82.0,94.5609756097561,207.0,45.58511138009855,51.0,0.2721688506764831,34558.82352941176,62888.88888888889,65502.7703927401,120408.16326530612,15763.829315054958,13823.241666666661,0.16378051753090914,10947003.0,171.0,1.0,1.951219512195122,3.0,1.0,1.5675675675675675,2.0,2545.5555555555557,Económico,mediana_IQR,5831616.951219512,mediana_IQR,94.5609756097561,mediana_IQR,65502.7703927401
Gdl,Chapalita,Ven,Ofc,3,2805000.0,7800000.0,8865000.0,15990000.0,5435177.090031198,6592500.0,0.15998905726235255,187.0,330.0,439.0,800.0,261.85619463107355,306.5,0.3398740573857081,15000.0,19987.5,19541.28787878788,23636.36363636364,3539.8703514595472,4318.18181818182,-0.10292203814410901,13185000.0,613.0,2.0,3.3333333333333335,5.0,,,,7103.0,Medio,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Chapultepec Country,Ven,Cas,1,6000000.0,6000000.0,6000000.0,6000000.0,0.0,0.0,0.0,198.0,198.0,198.0,198.0,0.0,0.0,0.0,30303.030303030304,30303.030303030304,30303.030303030304,30303.030303030304,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,2.0,2.0,,Económico,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Chapultepec Country,Ven,Dep,17,2670112.0,5500000.0,5230072.235294118,6980000.0,1342564.7577472765,2368935.0,-0.19505084950226245,39.0,91.0,92.88235294117646,130.0,27.299821919137294,34.0,0.06689239929304516,46153.84615384616,58986.44285714286,57399.63819534721,68464.41025641025,5962.312907727074,8588.910256410258,-0.25819286335029035,4309888.0,91.0,1.0,1.7058823529411764,2.0,1.0,1.3333333333333333,2.0,1800.0,Medio,mediana_IQR,5230072.235294118,mediana_IQR,92.88235294117646,mediana_IQR,57399.63819534721
