id,PaginaWeb,Ciudad,Fecha_Scrap,tipo_propiedad,area_m2,recamaras,estacionamientos,operacion,precio,mantenimiento,Colonia,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2
Sep25_90fd417c,Inm24,Gdl,01/09/2025,Dep,66.0,2.0,1.0,Ven,2600000.0,,El Retiro,-103.341486,20.681838,56.0,2.0,0,39393.93939393939
Sep25_3df362e6,Inm24,Gdl,01/09/2025,Dep,70.0,2.0,1.0,Ven,6050000.0,,Chapalita,-103.392012,20.65634,107.0,2.0,0,86428.57142857143
Sep25_aa8abd3a,Inm24,Gdl,01/09/2025,Dep,100.0,3.0,2.0,Ven,4850000.0,,Providencia 3a Sección,-103.38039,20.699621,,2.0,15,48500.0
Sep25_531da0ce,Inm24,Gdl,01/09/2025,Dep,161.0,3.0,2.0,Ven,8500000.0,3500.0,Vallarta Norte,-103.392287,20.674714,123.0,4.5,10,52795.03105590062
Sep25_15a05bc7,Inm24,Gdl,01/09/2025,Dep,97.0,2.0,2.0,Ven,7017000.0,2500.0,Providencia,-103.378224,20.701982,,3.5,3,72340.206185567
Sep25_61b7b081,Inm24,Gdl,01/09/2025,Dep,208.0,1.0,2.0,Ven,8112000.0,5500.0,Jardines de Los Arcos,-103.390573,20.669986,,1.5,1,39000.0
Sep25_ee91e863,Inm24,Gdl,01/09/2025,Dep,290.0,3.0,2.0,Ven,7500000.0,4123.0,Obrera,-103.3733,20.66897,,2.0,2,25862.068965517243
Sep25_6d1edcf8,Inm24,Gdl,01/09/2025,Dep,360.0,2.0,4.0,Ven,24500000.0,,Americana,-103.367182,20.672353,,2.5,0,68055.55555555556
Sep25_05c6c1aa,Inm24,Gdl,01/09/2025,Dep,50.0,1.0,1.0,Ven,3480000.0,,Obrera,-103.371257,20.668433,120.0,1.0,2,69600.0
Sep25_186d0e59,Inm24,Gdl,01/09/2025,Dep,64.0,1.0,1.0,Ven,4200000.0,,Vallarta Norte,-103.392442,20.678596,34.0,1.0,0,65625.0
Sep25_a8d8d3df,Inm24,Gdl,01/09/2025,Dep,220.0,2.0,2.0,Ven,8590000.0,,Circunvalación Américas,-103.377228,20.697823,,2.5,0,39045.454545454544
Sep25_b537b357,Inm24,Gdl,01/09/2025,Dep,78.0,2.0,1.0,Ven,6000000.0,2000.0,Lomas del Country,-103.368884,20.697502,1.0,1.0,0,76923.07692307692
Sep25_eefee030,Inm24,Gdl,01/09/2025,Dep,89.0,2.0,2.0,Ven,5850000.0,3600.0,Moderna,-103.371705,20.666295,42.0,2.0,0,65730.33707865169
Sep25_103c3e56,Inm24,Gdl,01/09/2025,Dep,87.0,2.0,2.0,Ven,5300000.0,3500.0,Ladrón de Guevara,-103.370265,20.678897,145.0,2.0,1,60919.54022988506
Sep25_90fd417c,Inm24,Gdl,01/09/2025,Dep,66.0,2.0,1.0,Ven,2600000.0,,El Retiro,-103.341486,20.681838,56.0,2.0,0,39393.93939393939
Sep25_f632db92,Inm24,Gdl,01/09/2025,Dep,75.0,2.0,1.0,Ven,4450000.0,,Arcos Vallarta,-103.38019,20.668125,51.0,2.0,0,59333.333333333336
Sep25_6d1edcf8,Inm24,Gdl,01/09/2025,Dep,360.0,2.0,4.0,Ven,24500000.0,,Americana,-103.367182,20.672353,,2.5,0,68055.55555555556
Sep25_f433a788,Inm24,Gdl,01/09/2025,Dep,83.0,2.0,2.0,Ven,6494000.0,,Providencia 2a Sección,-103.380551,20.695957,105.0,2.0,0,78240.96385542168
Sep25_d77c23d3,Inm24,Gdl,01/09/2025,Dep,74.0,1.0,1.0,Ven,3300000.0,,Ayuntamiento,-103.371732,20.693529,20.0,1.0,0,44594.59459459459
Sep25_aa8abd3a,Inm24,Gdl,01/09/2025,Dep,100.0,3.0,2.0,Ven,4850000.0,,Providencia 3a Sección,-103.38039,20.699621,,2.0,15,48500.0
Sep25_15a05bc7,Inm24,Gdl,01/09/2025,Dep,97.0,2.0,2.0,Ven,7017000.0,2500.0,Providencia,-103.378224,20.701982,,3.5,3,72340.206185567
Sep25_5aed0ace,Inm24,Gdl,01/09/2025,Dep,67.0,1.0,,Ven,4290000.0,,Americana,-103.372786,20.673182,77.0,2.0,0,64029.850746268654
Sep25_e0838dc6,Inm24,Zap,01/09/2025,Cas,190.0,4.0,2.0,Ven,4550000.0,,Coto Alva 1,-103.421397,20.791785,199.0,4.0,0,23947.36842105263
Sep25_0068bf15,Inm24,Gdl,01/09/2025,Cas,545.0,10.0,1.0,Ven,15950000.0,,Lomas del Country,-103.364419,20.698146,10.0,6.5,39,29266.05504587156
Sep25_47f00124,Inm24,Zap,01/09/2025,Cas,300.0,5.0,4.0,Ven,30177011.0,,Bosque de Los Virreyes,-103.4342,20.695953,13.0,5.5,0,100590.03666666667
Sep25_9763a871,Inm24,Zap,01/09/2025,Cas,1100.0,3.0,6.0,Ven,69000000.0,,Prados Vallarta,-103.416501,20.671956,0.0,4.0,3,62727.27272727273
Sep25_cc1b89d4,Inm24,Gdl,01/09/2025,Cas,828.0,8.0,2.0,Ven,13480000.0,,Zona Centro,-103.357231,20.676014,179.0,2.5,77,16280.193236714977
Sep25_71daa1e7,Inm24,Zap,01/09/2025,Cas,615.0,4.0,6.0,Ven,31500000.0,,Puerta del Bosque,-103.417642,20.702595,179.0,6.5,0,51219.51219512195
Sep25_84296d84,Inm24,Zap,01/09/2025,Cas,166.0,4.0,2.0,Ven,4680000.0,,Boreales,-103.397246,20.754707,65.0,3.5,3,28192.77108433735
Sep25_13ef0f0c,Inm24,Zap,01/09/2025,Cas,380.0,4.0,2.0,Ven,12900000.0,,Chapalita de Occidente,-103.424763,20.657073,8.0,3.5,45,33947.36842105263
Sep25_845deacd,Inm24,Gdl,01/09/2025,Cas,143.0,4.0,1.0,Ven,2650000.0,,Atlas,-103.333545,20.649073,135.0,2.0,50,18531.46853146853
Sep25_58aaf630,Inm24,Gdl,01/09/2025,Cas,550.0,7.0,7.0,Ven,35737840.0,,Colinas de San Javier,-103.40183,20.700584,15.0,6.5,0,64977.89090909091
Sep25_0147f50f,Inm24,Zap,01/09/2025,Cas,490.0,5.0,4.0,Ven,14490000.0,,La Giralda,-103.404466,20.643334,240.0,5.0,20,29571.428571428572
Sep25_17791669,Inm24,Zap,01/09/2025,Cas,350.0,5.0,4.0,Ven,21277766.0,,Puerta Las Lomas,-103.43613,20.704353,16.0,5.5,0,60793.61714285714
Sep25_52eef3f7,Inm24,Zap,01/09/2025,Cas,282.0,3.0,2.0,Ven,9150000.0,,Lomas Altas,-103.41,20.684879,9.0,4.0,5,32446.808510638297
Sep25_8b12a8f1,Inm24,Zap,01/09/2025,Cas,258.0,4.0,3.0,Ven,8749000.0,,Bosques Vallarta,-103.478956,20.71797,146.0,5.0,0,33910.8527131783
Sep25_e44ca556,Inm24,Gdl,01/09/2025,Cas,569.0,7.0,4.0,Ven,16950000.0,,Jardines del Bosque,-103.382757,20.660414,30.0,3.0,39,29789.103690685413
Sep25_efd44cfb,Inm24,Zap,01/09/2025,Cas,328.0,3.0,3.0,Ven,6100000.0,,Las Arboledas,-103.42121,20.62903,20.0,4.5,35,18597.560975609755
Sep25_2283c255,Inm24,Desconocido,01/09/2025,Cas,210.0,3.0,2.0,Ven,8850000.0,1500.0,Desconocida,-103.476553,20.731679,25.0,4.0,0,42142.857142857145
Sep25_b3e403ca,Inm24,Zap,01/09/2025,Cas,550.0,3.0,4.0,Ven,26990000.0,,Puerta de Hierro,-103.42009,20.709487,,4.5,18,49072.72727272727
Sep25_2fd562c7,Inm24,Zap,01/09/2025,Cas,320.0,5.0,4.0,Ven,17996626.0,,Villa Verona,-103.44343,20.698982,13.0,5.5,0,56239.45625
Sep25_ec8c42c9,Inm24,Zap,01/09/2025,Cas,170.0,3.0,2.0,Ven,5400000.0,1035.0,Montes,-103.405102,20.765453,30.0,3.0,0,31764.70588235294
Sep25_307dd76b,Inm24,Gdl,01/09/2025,Cas,427.0,8.0,3.0,Ven,6950000.0,,Sutaj,-103.312558,20.648652,21.0,6.0,45,16276.346604215456
Sep25_c13dc2e0,Inm24,Gdl,01/09/2025,Cas,272.0,3.0,1.0,Ven,11500000.0,,Italia Providencia,-103.37827,20.693956,193.0,2.5,30,42279.41176470588
Sep25_967dce73,Inm24,Zap,01/09/2025,Cas,282.0,3.0,2.0,Ven,12490000.0,1500.0,Virreyes,-103.439098,20.696795,114.0,4.5,20,44290.78014184397
Sep25_2e2807ef,Inm24,Zap,01/09/2025,Cas,240.0,4.0,3.0,Ven,9900000.0,,Valeira,-103.473584,20.728851,201.0,4.0,5,41250.0
Sep25_1ef4a7c7,Inm24,Zap,01/09/2025,Cas,187.0,3.0,2.0,Ven,4699000.0,,Pontevedra,-103.410282,20.788355,22.0,3.0,0,25128.342245989305
Sep25_01e7896b,Inm24,Zap,01/09/2025,Cas,260.0,4.0,4.0,Ven,24400000.0,,Santa Isabel,-103.409547,20.70168,239.0,4.5,23,93846.15384615384
Sep25_f4abbeb5,Inm24,Zap,01/09/2025,Cas,604.0,5.0,6.0,Ven,27750000.0,2500.0,Valle Real,-103.451285,20.722235,52.0,5.5,13,45943.708609271525
Sep25_524653ce,Inm24,Zap,01/09/2025,Cas,190.0,3.0,2.0,Ven,4300000.0,930.0,Sendas Residencial G3,-103.418329,20.774386,24.0,3.0,0,22631.57894736842
Sep25_30841ff0,Inm24,Zap,01/09/2025,Cas,176.0,3.0,2.0,Ven,7590000.0,2725.0,Base Aérea Militar No 5,-103.467172,20.727564,43.0,3.5,0,43125.0
Sep25_d99c124e,Inm24,Zap,01/09/2025,Cas,190.0,3.0,2.0,Ven,4440000.0,950.0,Coto Galarza,-103.407344,20.787381,21.0,4.0,0,23368.42105263158
Sep25_9bf2c809,Inm24,Zap,01/09/2025,Cas,220.0,4.0,3.0,Ven,8695000.0,,Soare II Coto2,-103.47289,20.731027,122.0,4.5,0,39522.72727272727
Sep25_bce5a70f,Inm24,Zap,01/09/2025,Cas,370.0,3.0,2.0,Ven,20000000.0,,Altamira,-103.392032,20.711574,324.0,3.5,en construcción,54054.05405405405
Sep25_b1229f2e,Inm24,Gdl,01/09/2025,Cas,329.0,4.0,3.0,Ven,11300000.0,,Lomas de Guevara,-103.384165,20.690999,108.0,4.0,44,34346.504559270514
Sep25_a7305e65,Inm24,Zap,01/09/2025,Cas,344.0,4.0,2.0,Ven,17990000.0,,Puerta de Hierro,-103.420389,20.712006,,3.5,20,52296.51162790698
Sep25_14003d46,Inm24,Zap,01/09/2025,Cas,500.0,6.0,6.0,Ven,31712538.0,,Las Lomas Golf Hábitat,-103.4332,20.714207,16.0,5.5,0,63425.076
Sep25_eee80297,Inm24,Zap,01/09/2025,Cas,177.0,3.0,2.0,Ven,4425000.0,1100.0,Alicante,-103.410373,20.786614,60.0,2.5,0,25000.0
Sep25_e9e242b5,Inm24,Zap,01/09/2025,Cas,180.0,3.0,2.0,Ven,4800000.0,1100.0,Alicante,-103.410373,20.786614,60.0,4.0,0,26666.666666666668
Sep25_33d9f512,Inm24,Gdl,01/09/2025,Cas,673.0,3.0,5.0,Ven,27500000.0,3350.0,Colinas de San Javier,-103.399941,20.704125,3.0,5.5,25,40861.81277860327
Sep25_79a0e4ca,Inm24,Zap,01/09/2025,Cas,450.0,3.0,4.0,Ven,23990000.0,,Azaleas,-103.447891,20.607083,19.0,4.5,6,53311.11111111111
Sep25_4af2a16b,Inm24,Zap,01/09/2025,Cas,117.0,3.0,2.0,Ven,4500000.0,,La Calma,-103.410705,20.633159,99.0,2.5,15,38461.53846153846
Sep25_3407a827,Inm24,Zap,01/09/2025,Cas,692.0,7.0,1.0,Ven,16000000.0,,Vallarta Universidad,-103.426245,20.688815,,5.0,15,23121.387283236993
Sep25_86b9ade9,Inm24,Zap,01/09/2025,Cas,150.0,3.0,2.0,Ven,5400000.0,1000.0,Chapalita Las Fuentes,-103.427336,20.655773,133.0,3.0,5,36000.0
Sep25_d6becba1,Inm24,Zap,01/09/2025,Cas,234.0,3.0,2.0,Ven,9750000.0,1500.0,Soare II Coto2,-103.471657,20.731491,22.0,4.5,0,41666.666666666664
Sep25_84e7893f,Inm24,Zap,01/09/2025,Cas,186.0,3.0,2.0,Ven,4320000.0,,Coto Galarza,-103.407344,20.787381,36.0,4.0,0,23225.8064516129
Sep25_c0c26519,Inm24,Zap,01/09/2025,Cas,238.0,3.0,2.0,Ven,9400000.0,1300.0,Base Aérea Militar No 5,-103.467172,20.727564,22.0,5.0,0,39495.79831932773
Sep25_c882cf9f,Inm24,Zap,01/09/2025,Cas,250.0,3.0,2.0,Ven,14500000.0,2570.0,La Toscana,-103.433239,20.727747,28.0,4.5,10,58000.0
Sep25_452064a5,Inm24,Desconocido,01/09/2025,Cas,330.0,5.0,4.0,Ven,13792956.0,,Desconocida,-103.471794,20.729244,13.0,5.5,0,41796.836363636365
Sep25_2ebafa62,Inm24,Zap,01/09/2025,Cas,620.0,7.0,7.0,Ven,32615000.0,,Puerta del Bosque,-103.42006,20.700195,16.0,6.5,0,52604.83870967742
Sep25_5267af8e,Inm24,Zap,01/09/2025,Cas,600.0,7.0,7.0,Ven,27974632.0,,Puerta Las Lomas,-103.43418,20.708006,14.0,6.5,0,46624.386666666665
Sep25_7a43ff16,Inm24,Zap,01/09/2025,Cas,249.0,3.0,2.0,Ven,5240000.0,,Lagos del Country,-103.368849,20.71552,173.0,2.5,40,21044.176706827307
Sep25_9ff52cf4,Inm24,Desconocido,01/09/2025,Cas,185.0,3.0,2.0,Ven,5400000.0,1160.0,Desconocida,-103.404595,20.766493,155.0,2.5,0,29189.18918918919
Sep25_d4f5f0f5,Inm24,Zap,01/09/2025,Cas,240.0,3.0,2.0,Ven,9590000.0,1100.0,Valeira,-103.475088,20.728996,330.0,4.5,0,39958.333333333336
Sep25_77bd80e3,Inm24,Gdl,01/09/2025,Cas,920.0,4.0,5.0,Ven,59000000.0,50000.0,Colinas de San Javier,-103.398479,20.70165,,7.0,8,64130.434782608696
Sep25_82761107,Inm24,Zap,01/09/2025,Cas,190.0,6.0,2.0,Ven,4999999.0,,Jardines de Santa Ana,-103.463991,20.622107,64.0,3.0,3,26315.784210526315
Sep25_bf2d17d2,Inm24,Zap,01/09/2025,Cas,650.0,4.0,5.0,Ven,38000000.0,,Parque Virreyes,-103.442045,20.701016,89.0,6.0,0,58461.53846153846
Sep25_4a8aa1a6,Inm24,Zap,01/09/2025,Cas,180.0,3.0,2.0,Ven,4700000.0,1100.0,Alicante,-103.410373,20.786614,60.0,4.0,0,26111.11111111111
Sep25_474d5494,Inm24,Zap,01/09/2025,Cas,120.0,3.0,2.0,Ven,2365000.0,500.0,Parques de Tesistán,-103.470545,20.794119,39.0,4.5,0,19708.333333333332
Sep25_366d4cfa,Inm24,Gdl,01/09/2025,Cas,678.0,5.0,6.0,Ven,26800000.0,,Lomas de Guevara,-103.384184,20.684908,199.0,4.5,35,39528.02359882006
Sep25_2938b0d1,Inm24,Zap,01/09/2025,Cas,333.0,3.0,5.0,Ven,24500000.0,,Villa Universitaria,-103.41368,20.69725,80.0,4.0,10,73573.57357357358
Sep25_01ba34d1,Inm24,Zap,01/09/2025,Cas,182.0,4.0,2.0,Ven,4500000.0,1120.0,Valle Imperial,-103.436025,20.778427,162.0,3.5,8,24725.274725274725
Sep25_f3dec3b6,Inm24,Zap,01/09/2025,Cas,245.0,4.0,2.0,Ven,11100000.0,,Paseos del Parque,-103.444856,20.669019,62.0,4.0,0,45306.12244897959
Sep25_48c1eafa,Inm24,Zap,01/09/2025,Cas,238.0,3.0,2.0,Ven,9830000.0,1300.0,Soare II Coto2,-103.471657,20.731491,24.0,3.5,0,41302.52100840336
Sep25_56eef2ba,Inm24,Zap,01/09/2025,Cas,100.0,3.0,1.0,Ven,3260000.0,600.0,San Francisco,-103.391776,20.75053,259.0,2.0,15,32600.0
Sep25_5e597c75,Inm24,Zap,01/09/2025,Cas,162.0,3.0,2.0,Ven,6550000.0,,Soare II Coto2,-103.472521,20.733388,17.0,2.5,3,40432.0987654321
Sep25_84965602,Inm24,Desconocido,01/09/2025,Cas,240.0,3.0,2.0,Ven,8400000.0,1300.0,Desconocida,-103.471609,20.729907,191.0,5.0,0,35000.0
Sep25_e24a5db7,Inm24,Zap,01/09/2025,Cas,110.0,2.0,2.0,Ven,3350082.0,1200.0,Santa Ana Tepetitlán,-103.440285,20.615157,,2.5,en construcción,30455.29090909091
Sep25_16a6437d,Inm24,Zap,01/09/2025,Cas,129.0,3.0,3.0,Ven,4456000.0,1500.0,El Centinela,-103.382668,20.767857,97.0,2.5,en construcción,34542.635658914725
Sep25_35604c7b,Inm24,Zap,01/09/2025,Cas,500.0,6.0,6.0,Ven,28546969.0,,Ayamonte,-103.46816,20.67566,15.0,5.5,0,57093.938
Sep25_b420e6a9,Inm24,Zap,01/09/2025,Cas,172.0,4.0,2.0,Ven,4450000.0,,Valle Imperial,-103.441838,20.773371,64.0,3.5,0,25872.093023255813
Sep25_4d6c4da4,Inm24,Zap,01/09/2025,Cas,162.0,3.0,2.0,Ven,4350000.0,800.0,Prados Vallarta,-103.416501,20.671956,23.0,3.0,0,26851.85185185185
Sep25_db9d99af,Inm24,Zap,01/09/2025,Cas,183.0,3.0,2.0,Ven,4400000.0,,Los Robles,-103.41593,20.760868,8.0,4.0,0,24043.715846994535
Sep25_1c0f27e2,Inm24,Gdl,01/09/2025,Cas,447.0,5.0,3.0,Ven,14200000.0,,Bosques de La Victoria,-103.39214,20.648095,87.0,5.0,20,31767.337807606265
Sep25_fbb54e24,Inm24,Zap,01/09/2025,Cas,236.0,3.0,1.0,Ven,10650000.0,,Puerta del Valle,-103.421557,20.724849,31.0,3.5,15,45127.1186440678
Sep25_35f74238,Inm24,Zap,01/09/2025,Cas,220.0,3.0,2.0,Ven,8250000.0,,Guadalajara (Technology Park),-103.480906,20.726293,,4.0,0,37500.0
Sep25_64fcb553,Inm24,Zap,01/09/2025,Cas,215.0,3.0,2.0,Ven,8695000.0,1200.0,Soare II Coto2,-103.471351,20.733362,,4.0,0,40441.86046511628
Sep25_45a58070,Inm24,Zap,01/09/2025,Cas,122.0,3.0,2.0,Ven,2280000.0,500.0,Valle Norte,-103.469627,20.787655,39.0,3.0,12,18688.524590163935
Sep25_0194c4a3,Inm24,Zap,01/09/2025,Cas,182.0,3.0,2.0,Ven,6908000.0,1400.0,Valle Imperial,-103.441039,20.783567,23.0,3.0,0,37956.043956043955
Sep25_7f362c94,Inm24,Gdl,01/09/2025,Cas,394.0,4.0,5.0,Ven,7390000.0,,Jardines de La Paz,-103.292998,20.642696,71.0,5.5,5,18756.345177664974
Sep25_d3c17353,Inm24,Zap,01/09/2025,Cas,235.0,4.0,2.0,Ven,10550000.0,,Prados Tepeyac,-103.414062,20.657913,15.0,3.0,12,44893.617021276594
Sep25_8a7cf45f,Inm24,Zap,01/09/2025,Cas,355.0,5.0,3.0,Ven,17800000.0,,Villa Verona,-103.442962,20.701001,144.0,4.5,en construcción,50140.84507042253
Sep25_5c3125a8,Inm24,Zap,01/09/2025,Cas,513.0,3.0,6.0,Ven,27990000.0,,Valle Real,-103.444057,20.72041,333.0,5.0,5,54561.40350877193
Sep25_f255ad4b,Inm24,Zap,01/09/2025,Cas,508.0,3.0,4.0,Ven,13987000.0,,Arcos de Guadalupe,-103.436036,20.668706,149.0,4.0,0,27533.464566929135
Sep25_1746da5a,Inm24,Zap,01/09/2025,Cas,182.0,3.0,2.0,Ven,7920000.0,2737.0,Base Aérea Militar No 5,-103.467172,20.727564,43.0,4.5,0,43516.48351648352
Sep25_b58361b0,Inm24,Zap,01/09/2025,Cas,222.0,3.0,2.0,Ven,7000000.0,,Bosques Vallarta,-103.475092,20.721641,13.0,3.5,0,31531.53153153153
Sep25_67182ccd,Inm24,Zap,01/09/2025,Cas,500.0,6.0,6.0,Ven,31497138.0,,Alcázar Poniente,-103.42749,20.694626,15.0,5.5,0,62994.276
Sep25_da123a7f,Inm24,Zap,01/09/2025,Cas,118.0,4.0,2.0,Ven,4500000.0,,La Calma,-103.4105,20.633177,11.0,2.5,20,38135.59322033898
Sep25_8b988219,Inm24,Zap,01/09/2025,Cas,100.0,3.0,1.0,Ven,2780000.0,,Misión La Floresta,-103.466712,20.627485,23.0,2.5,16,27800.0
Sep25_22380219,Inm24,Zap,01/09/2025,Cas,400.0,5.0,3.0,Ven,12900000.0,,Juan Manuel Vallarta,-103.40875,20.68136,,5.0,2,32250.0
Sep25_252a3f44,Inm24,Zap,01/09/2025,Cas,550.0,4.0,5.0,Ven,27500000.0,,Puerta de Hierro,-103.417896,20.709235,,4.0,8,50000.0
Sep25_20e1a721,Inm24,Zap,01/09/2025,Cas,305.0,4.0,3.0,Ven,8900000.0,,Jardines de Guadalupe,-103.425869,20.665352,,3.5,30,29180.32786885246
Sep25_386af049,Inm24,Zap,01/09/2025,Cas,90.0,2.0,1.0,Ven,2650000.0,,Atemajac del Valle,-103.351167,20.719985,166.0,1.5,10,29444.444444444445
Sep25_46e68131,Inm24,Zap,01/09/2025,Cas,60.0,2.0,1.0,Ven,1399000.0,,Palermo,-103.461945,20.816733,30.0,1.0,10,23316.666666666668
Sep25_be5c0f68,Inm24,Zap,01/09/2025,Cas,225.0,4.0,2.0,Ven,10400000.0,,Tepeyac Casino,-103.414038,20.65913,50.0,3.5,38,46222.22222222222
Sep25_7f1a7945,Inm24,Gdl,01/09/2025,Cas,364.0,5.0,8.0,Ven,9500000.0,,Huentitán El Bajo,-103.313417,20.735944,,5.0,50,26098.9010989011
Sep25_b2b269d0,Inm24,Zap,01/09/2025,Cas,150.0,4.0,2.0,Ven,4650000.0,900.0,Paseos del Camichín,-103.404401,20.755707,238.0,3.5,0,31000.0
Sep25_4f49931f,Inm24,Zap,01/09/2025,Cas,315.0,3.0,5.0,Ven,12350000.0,,Ciudad Bugambilias,-103.454256,20.602337,181.0,4.0,6,39206.34920634921
Sep25_77cd9257,Inm24,Zap,01/09/2025,Cas,199.0,2.0,2.0,Ven,5490000.0,,Santa Fe,-103.392918,20.712258,85.0,3.5,0,27587.93969849246
Sep25_23435898,Inm24,Zap,01/09/2025,Cas,244.0,4.0,2.0,Ven,7900000.0,,Bosques Vallarta,-103.47572,20.72172,123.0,5.0,0,32377.049180327867
Sep25_798fd1c3,Inm24,Zap,01/09/2025,Cas,460.0,4.0,3.0,Ven,13800000.0,,La Estancia,-103.429503,20.669471,45.0,3.5,15,30000.0
Sep25_b2ef0148,Inm24,Zap,01/09/2025,Cas,218.0,4.0,3.0,Ven,6990000.0,,La Calma,-103.4124,20.6426,153.0,2.0,40,32064.22018348624
